Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
3,Oklahoma City Thunder,23-59,11.90%,119,4th,1,James Harden,Oklahoma City Thunder,2009
4,Sacramento Kings,17-65,25.00%,250,1st,-3,Tyreke Evans,Sacramento Kings,2009
5,Washington Wizards,19-63,17.80%,178,2nd,-3,Ricky Rubio,Minnesota Timberwolves,2009
6,Minnesota Timberwolves,24-58,7.60%,76,5th,-1,Jonny Flynn,Minnesota Timberwolves,2009
7,Golden State Warriors,29-53,4.30%,43,7th,0,Stephen Curry,Golden State Warriors,2009
8,New York Knicks,32-50,2.80%,28,8th,0,Jordan Hill,New York Knicks,2009
9,Toronto Raptors,33-49,1.70%,17,9th,0,DeMar DeRozan,Toronto Raptors,2009
10,Milwaukee Bucks,34-48,1.00%,10,10th,0,Brandon Jennings,Milwaukee Bucks,2009
11,New Jersey Nets,34-48,0.90%,9,11th,0,Terrence Williams,New Jersey Nets,2009
12,Charlotte Bobcats,35-47,0.70%,7,12th,0,Gerald Henderson,Charlotte Bobcats,2009
13,Indiana Pacers,36-46,0.60%,6,13th,0,Tyler Hansbrough,Indiana Pacers,2009
14,Phoenix Suns,46-36,0.50%,5,14th,0,Earl Clark,Phoenix Suns,2009
1,Washington Wizards,26-56,10.30%,103,5th,4,John Wall,Washington Wizards,2010
2,Philadelphia Sixers,27-55,5.30%,53,6th,4,Evan Turner,Philadelphia Sixers,2010
3,New Jersey Nets,12-70,25.00%,250,1st,-2,Derrick Favors,New Jersey Nets,2010
4,Minnesota Timberwolves,15-67,19.90%,199,2nd,-2,Wesley Johnson,Minnesota Timberwolves,2010
5,Sacramento Kings,25-57,15.60%,156,3rd,-2,DeMarcus Cousins,Sacramento Kings,2010
6,Golden State Warriors,26-56,10.40%,104,4th,-2,Ekpe Udoh,Golden State Warriors,2010
7,Detroit Pistons,27-55,5.30%,53,7th,0,Greg Monroe,Detroit Pistons,2010
8,Los Angeles Clippers,29-53,2.30%,23,8th,0,Al-Farouq Aminu,Los Angeles Clippers,2010
9,New York Knicks,29-53,2.20%,22,9th,0,Gordon Hayward,Utah Jazz,2010
10,Indiana Pacers,32-50,1.10%,11,10th,0,Paul George,Indiana Pacers,2010
11,New Orleans Hornets,37-45,0.80%,8,11th,0,Cole Aldrich,New Orleans Hornets,2010
12,Memphis Grizzlies,40-42,0.70%,7,12th,0,Xavier Henry,Memphis Grizzlies,2010
13,Toronto Raptors,40-42,0.60%,6,13th,0,Ed Davis,Toronto Raptors,2010
14,Houston Rockets,42-40,0.50%,5,14th,0,Patrick Patterson,Houston Rockets,2010
1,Los Angeles Clippers,32-50,2.80%,28,8th,7,Kyrie Irving,Cleveland Cavaliers,2011
2,Minnesota Timberwolves,17-65,25.00%,250,1st,-1,Derrick Williams,Minnesota Timberwolves,2011
3,New Jersey Nets,24-58,7.50%,75,6th,3,Enes Freedom,Utah Jazz,2011
4,Cleveland Cavaliers,19-63,19.90%,199,2nd,-2,Tristan Thompson,Cleveland Cavaliers,2011
5,Toronto Raptors,22-60,15.60%,156,3rd,-2,Jonas Valanciunas,Toronto Raptors,2011
6,Washington Wizards,23-59,11.90%,119,4th,-2,Jan Vesely,Washington Wizards,2011
7,Sacramento Kings,24-58,7.60%,76,5th,-2,Bismack Biyombo,Sacramento Kings,2011
8,Detroit Pistons,30-52,4.30%,43,7th,-1,Brandon Knight,Detroit Pistons,2011
9,Charlotte Bobcats,34-48,1.70%,17,9th,0,Kemba Walker,Charlotte Bobcats,2011
10,Milwaukee Bucks,35-47,1.10%,11,10th,0,Jimmer Fredette,Milwaukee Bucks,2011
11,Golden State Warriors,36-46,0.80%,8,11th,0,Klay Thompson,Golden State Warriors,2011
12,Utah Jazz,39-43,0.70%,7,12th,0,Alec Burks,Utah Jazz,2011
13,Phoenix Suns,40-42,0.60%,6,13th,0,Markieff Morris,Phoenix Suns,2011
14,Houston Rockets,43-39,0.50%,5,14th,0,Marcus Morris,Houston Rockets,2011
1,New Orleans Hornets,21-45,13.70%,137,4th,3,Anthony Davis,New Orleans Hornets,2012
2,Charlotte Bobcats,7-59,25.00%,250,1st,-1,Michael Kidd-Gilchrist,Charlotte Bobcats,2012
3,Washington Wizards,20-46,19.90%,199,2nd,-1,Bradley Beal,Washington Wizards,2012
4,Cleveland Cavaliers,21-45,13.80%,138,3rd,-1,Dion Waiters,Cleveland Cavaliers,2012
5,Sacramento Kings,22-44,7.60%,76,5th,0,Thomas Robinson,Sacramento Kings,2012
6,New Jersey Nets,22-44,7.50%,75,6th,0,Damian Lillard,Portland Trail Blazers,2012
7,Golden State Warriors,23-43,3.60%,36,7th,0,Harrison Barnes,Golden State Warriors,2012
8,Toronto Raptors,23-43,3.50%,35,8th,0,Terrence Ross,Toronto Raptors,2012
9,Detroit Pistons,25-41,1.70%,17,9th,0,Andre Drummond,Detroit Pistons,2012
10,Minnesota Timberwolves,26-40,1.10%,11,10th,0,Austin Rivers,New Orleans Hornets,2012
11,Portland Trail Blazers,28-38,0.80%,8,11th,0,Meyers Leonard,Portland Trail Blazers,2012
12,Milwaukee Bucks,31-35,0.70%,7,12th,0,Jeremy Lamb,Houston Rockets,2012
13,Phoenix Suns,33-33,0.60%,6,13th,0,Kendall Marshall,Phoenix Suns,2012
14,Houston Rockets,34-32,0.50%,5,14th,0,John Henson,Milwaukee Bucks,2012
1,Cleveland Cavaliers,24-58,15.60%,156,3rd,2,Anthony Bennett,Cleveland Cavaliers,2013
2,Orlando Magic,20-62,25.00%,250,1st,-1,Victor Oladipo,Orlando Magic,2013
3,Washington Wizards,29-53,3.50%,35,8th,5,Otto Porter,Washington Wizards,2013
4,Charlotte Bobcats,21-61,19.90%,199,2nd,-2,Cody Zeller,Charlotte Bobcats,2013
5,Phoenix Suns,25-57,11.90%,119,4th,-1,Alex Len,Phoenix Suns,2013
6,New Orleans Pelicans,27-55,8.80%,88,5th,-1,Nerlens Noel,New Orleans Pelicans,2013
7,Sacramento Kings,28-54,6.30%,63,6th,-1,Ben McLemore,Sacramento Kings,2013
8,Detroit Pistons,29-53,3.60%,36,7th,-1,Kentavious Caldwell-Pope,Detroit Pistons,2013
9,Minnesota Timberwolves,31-51,1.70%,17,9th,0,Trey Burke,Minnesota Timberwolves,2013
10,Portland Trail Blazers,33-49,1.10%,11,10th,0,C.J. McCollum,Portland Trail Blazers,2013
11,Philadelphia Sixers,34-48,0.80%,8,11th,0,Michael Carter-Williams,Philadelphia Sixers,2013
12,Toronto Raptors,34-48,0.70%,7,12th,0,Steven Adams,Oklahoma City Thunder,2013
13,Dallas Mavericks,41-41,0.60%,6,13th,0,Kelly Olynyk,Dallas Mavericks,2013
14,Utah Jazz,43-39,0.50%,5,14th,0,Shabazz Muhammad,Utah Jazz,2013
1,Cleveland Cavaliers,33-49,1.70%,17,9th,8,Andrew Wiggins,Cleveland Cavaliers,2014
2,Milwaukee Bucks,15-67,25.00%,250,1st,-1,Jabari Parker,Milwaukee Bucks,2014
3,Philadelphia Sixers,19-63,19.90%,199,2nd,-1,Joel Embiid,Philadelphia Sixers,2014
4,Orlando Magic,23-59,15.60%,156,3rd,-1,Aaron Gordon,Orlando Magic,2014
5,Utah Jazz,25-57,10.40%,104,4th,-1,Dante Exum,Utah Jazz,2014
6,Boston Celtics,25-57,10.30%,103,5th,-1,Marcus Smart,Boston Celtics,2014
7,Los Angeles Lakers,27-55,6.30%,63,6th,-1,Julius Randle,Los Angeles Lakers,2014
8,Sacramento Kings,28-54,4.30%,43,7th,-1,Nik Stauskas,Sacramento Kings,2014
9,Detroit Pistons,29-53,2.80%,28,8th,-1,Noah Vonleh,Charlotte Hornets,2014
10,New Orleans Pelicans,34-48,1.10%,11,10th,0,Elfrid Payton,Philadelphia Sixers,2014
11,Denver Nuggets,36-46,0.80%,8,11th,0,Doug McDermott,Denver Nuggets,2014
12,New York Knicks,37-45,0.70%,7,12th,0,Dario Saric,Orlando Magic,2014
13,Minnesota Timberwolves,40-42,0.60%,6,13th,0,Zach LaVine,Minnesota Timberwolves,2014
14,Phoenix Suns,48-34,0.50%,5,14th,0,T.J. Warren,Phoenix Suns,2014
1,Minnesota Timberwolves,16-66,25.00%,250,1st,0,Karl-Anthony Towns,Minnesota Timberwolves,2015
2,Los Angeles Lakers,21-61,11.90%,119,4th,2,D'Angelo Russell,Los Angeles Lakers,2015
3,Philadelphia Sixers,18-64,15.60%,156,3rd,0,Jahlil Okafor,Philadelphia Sixers,2015
4,New York Knicks,17-65,19.90%,199,2nd,-2,Kristaps Porzingis,New York Knicks,2015
5,Orlando Magic,25-57,8.80%,88,5th,0,Mario Hezonja,Orlando Magic,2015
6,Sacramento Kings,29-53,6.30%,63,6th,0,Willie Cauley-Stein,Sacramento Kings,2015
7,Denver Nuggets,30-52,4.30%,43,7th,0,Emmanuel Mudiay,Denver Nuggets,2015
8,Detroit Pistons,32-50,2.80%,28,8th,0,Stanley Johnson,Detroit Pistons,2015
9,Charlotte Hornets,33-49,1.70%,17,9th,0,Frank Kaminsky,Charlotte Hornets,2015
10,Miami Heat,37-45,1.10%,11,10th,0,Justise Winslow,Miami Heat,2015
11,Indiana Pacers,38-44,0.80%,8,11th,0,Myles Turner,Indiana Pacers,2015
12,Utah Jazz,38-44,0.70%,7,12th,0,Trey Lyles,Utah Jazz,2015
13,Phoenix Suns,39-43,0.60%,6,13th,0,Devin Booker,Phoenix Suns,2015
14,Oklahoma City Thunder,45-37,0.50%,5,14th,0,Cameron Payne,Oklahoma City Thunder,2015
1,Philadelphia Sixers,10-72,25.00%,250,1st,0,Ben Simmons,Philadelphia Sixers,2016
2,Los Angeles Lakers,17-65,19.90%,199,2nd,0,Brandon Ingram,Los Angeles Lakers,2016
3,Brooklyn Nets,21-61,15.60%,156,3rd,0,Jaylen Brown,Boston Celtics,2016
4,Phoenix Suns,23-59,11.90%,119,4th,0,Dragan Bender,Phoenix Suns,2016
5,Minnesota Timberwolves,29-53,8.80%,88,5th,0,Kris Dunn,Minnesota Timberwolves,2016
6,New Orleans Pelicans,30-52,6.30%,63,6th,0,Buddy Hield,New Orleans Pelicans,2016
7,New York Knicks,32-50,4.30%,43,7th,0,Jamal Murray,Denver Nuggets,2016
8,Sacramento Kings,33-49,1.90%,19,8th,0,Marquese Chriss,Sacramento Kings,2016
9,Denver Nuggets,33-49,1.90%,19,9th,0,Jakob Poeltl,Toronto Raptors,2016
10,Milwaukee Bucks,33-49,1.80%,18,10th,0,Thon Maker,Milwaukee Bucks,2016
11,Orlando Magic,35-47,0.80%,8,11th,0,Domantas Sabonis,Orlando Magic,2016
12,Utah Jazz,40-42,0.70%,7,12th,0,Taurean Prince,Utah Jazz,2016
13,Washington Wizards,41-41,0.60%,6,13th,0,George Papagiannis,Phoenix Suns,2016
14,Chicago Bulls,42-40,0.50%,5,14th,0,Denzel Valentine,Chicago Bulls,2016
1,Brooklyn Nets,20-62,25.00%,250,1st,0,Markelle Fultz,Philadelphia Sixers,2017
2,Los Angeles Lakers,26-56,15.60%,156,3rd,1,Lonzo Ball,Los Angeles Lakers,2017
3,Sacramento Kings,32-50,2.80%,28,8th,5,Jayson Tatum,Boston Celtics,2017
4,Phoenix Suns,24-58,19.90%,199,2nd,-2,Josh Jackson,Phoenix Suns,2017
5,Philadelphia Sixers,28-54,11.90%,119,4th,-1,De'Aaron Fox,Sacramento Kings,2017
6,Orlando Magic,29-53,8.80%,88,5th,-1,Jonathan Isaac,Orlando Magic,2017
7,Minnesota Timberwolves,31-51,5.30%,53,6th,-1,Lauri Markkanen,Minnesota Timberwolves,2017
8,New York Knicks,31-51,5.30%,53,7th,-1,Frank Ntilikina,New York Knicks,2017
9,Dallas Mavericks,33-49,1.70%,17,9th,0,Dennis Smith,Dallas Mavericks,2017
10,New Orleans Pelicans,34-48,1.10%,11,10th,0,Zach Collins,Sacramento Kings,2017
11,Charlotte Hornets,36-46,0.80%,8,11th,0,Malik Monk,Charlotte Hornets,2017
12,Detroit Pistons,37-45,0.70%,7,12th,0,Luke Kennard,Detroit Pistons,2017
13,Denver Nuggets,40-42,0.60%,6,13th,0,Donovan Mitchell,Denver Nuggets,2017
14,Miami Heat,41-41,0.50%,5,14th,0,Bam Adebayo,Miami Heat,2017
1,Phoenix Suns,21-61,25.00%,250,1st,0,Deandre Ayton,Phoenix Suns,2018
2,Sacramento Kings,27-55,5.30%,53,7th,5,Marvin Bagley III,Sacramento Kings,2018
3,Atlanta Hawks,24-58,13.70%,137,4th,1,Luka Doncic,Atlanta Hawks,2018
4,Memphis Grizzlies,22-60,19.90%,199,2nd,-2,"Jaren Jackson, Jr.",Memphis Grizzlies,2018
5,Dallas Mavericks,24-58,13.80%,138,3rd,-2,Trae Young,Dallas Mavericks,2018
6,Orlando Magic,25-57,8.80%,88,5th,-1,Mohamed Bamba,Orlando Magic,2018
7,Chicago Bulls,27-55,5.30%,53,6th,-1,"Wendell Carter, Jr.",Chicago Bulls,2018
8,Brooklyn Nets,28-54,2.80%,28,8th,0,Collin Sexton,Cleveland Cavaliers,2018
9,New York Knicks,29-53,1.70%,17,9th,0,Kevin Knox II,New York Knicks,2018
10,Los Angeles Lakers,35-47,1.10%,11,10th,0,Mikal Bridges,Philadelphia Sixers,2018
11,Charlotte Hornets,36-46,0.80%,8,11th,0,Shai Gilgeous-Alexander,Charlotte Hornets,2018
12,Detroit Pistons,39-43,0.70%,7,12th,0,Miles Bridges,Los Angeles Clippers,2018
13,Los Angeles Clippers,42-40,0.60%,6,13th,0,Jerome Robinson,Los Angeles Clippers,2018
14,Denver Nuggets,46-36,0.50%,5,14th,0,"Michael Porter, Jr.",Denver Nuggets,2018
1,New Orleans Pelicans,33-49,6.00%,60,7th,6,Zion Williamson,New Orleans Pelicans,2019
2,Memphis Grizzlies,33-49,6.00%,60,8th,6,Ja Morant,Memphis Grizzlies,2019
3,New York Knicks,17-65,14.00%,140,1st,-2,R.J. Barrett,New York Knicks,2019
4,Los Angeles Lakers,37-45,2.00%,20,11th,7,De'Andre Hunter,Los Angeles Lakers,2019
5,Cleveland Cavaliers,19-63,14.00%,140,2nd,-3,Darius Garland,Cleveland Cavaliers,2019
6,Phoenix Suns,19-63,14.00%,140,3rd,-3,Jarrett Culver,Phoenix Suns,2019
7,Chicago Bulls,22-60,12.50%,125,4th,-3,Coby White,Chicago Bulls,2019
8,Atlanta Hawks,29-53,10.50%,105,5th,-3,Jaxson Hayes,Atlanta Hawks,2019
9,Washington Wizards,32-50,9.00%,90,6th,-3,Rui Hachimura,Washington Wizards,2019
10,Dallas Mavericks,33-49,6.00%,60,9th,-1,Cam Reddish,Atlanta Hawks,2019
11,Minnesota Timberwolves,36-46,3.00%,30,10th,-1,Cameron Johnson,Minnesota Timberwolves,2019
12,Charlotte Hornets,39-43,1.00%,10,12th,0,P.J. Washington,Charlotte Hornets,2019
13,Miami Heat,39-43,1.00%,10,13th,0,Tyler Herro,Miami Heat,2019
14,Sacramento Kings,39-43,1.00%,10,14th,0,Romeo Langford,Boston Celtics,2019
1,Minnesota Timberwolves,19-45,14.00%,140,3rd,2,Anthony Edwards,Minnesota Timberwolves,2020
2,Golden State Warriors,15-50,14.00%,140,1st,-1,James Wiseman,Golden State Warriors,2020
3,Charlotte Hornets,23-42,6.00%,60,8th,5,LaMelo Ball,Charlotte Hornets,2020
4,Chicago Bulls,22-43,7.50%,75,7th,3,Patrick Williams,Chicago Bulls,2020
5,Cleveland Cavaliers,19-46,14.00%,140,2nd,-3,Isaac Okoro,Cleveland Cavaliers,2020
6,Atlanta Hawks,20-47,12.50%,125,4th,-2,Onyeka Okongwu,Atlanta Hawks,2020
7,Detroit Pistons,20-46,10.50%,105,5th,-2,Killian Hayes,Detroit Pistons,2020
8,New York Knicks,21-45,9.00%,90,6th,-2,Obi Toppin,New York Knicks,2020
9,Washington Wizards,25-47,4.50%,45,9th,0,Deni Avdija,Washington Wizards,2020
10,Phoenix Suns,34-39,3.00%,30,10th,0,Jalen Smith,Phoenix Suns,2020
11,San Antonio Spurs,32-39,2.00%,20,11th,0,Devin Vassell,San Antonio Spurs,2020
12,Sacramento Kings,31-41,1.30%,13,12th,0,Tyrese Haliburton,Sacramento Kings,2020
13,New Orleans Pelicans,30-42,1.20%,12,13th,0,"Kira Lewis, Jr.",New Orleans Pelicans,2020
14,Memphis Grizzlies,34-39,0.50%,5,14th,0,Aaron Nesmith,Boston Celtics,2020
1,Detroit Pistons,20-52,14.00%,140,2nd,1,Cade Cunningham,Detroit Pistons,2021
2,Houston Rockets,17-55,14.00%,140,1st,-1,Jalen Green,Houston Rockets,2021
3,Cleveland Cavaliers,22-50,11.50%,115,5th,2,Evan Mobley,Cleveland Cavaliers,2021
4,Toronto Raptors,27-45,7.50%,75,7th,3,Scottie Barnes,Toronto Raptors,2021
5,Orlando Magic,21-51,14.00%,140,3rd,-2,Jalen Suggs,Orlando Magic,2021
6,Oklahoma City Thunder,22-50,11.50%,115,4th,-2,Josh Giddey,Oklahoma City Thunder,2021
7,Golden State Warriors,23-49,9.00%,90,6th,-1,Jonathan Kuminga,Golden State Warriors,2021
8,Chicago Bulls,31-41,4.50%,45,8th,0,Franz Wagner,Orlando Magic,2021
9,Sacramento Kings,31-41,4.50%,45,9th,0,Davion Mitchell,Sacramento Kings,2021
10,New Orleans Pelicans,31-41,4.50%,45,10th,0,Ziaire Williams,New Orleans Pelicans,2021
11,Charlotte Hornets,33-39,1.80%,18,11th,0,James Bouknight,Charlotte Hornets,2021
12,San Antonio Spurs,33-39,1.70%,17,12th,0,Joshua Primo,San Antonio Spurs,2021
13,Indiana Pacers,34-38,1.00%,10,13th,0,Chris Duarte,Indiana Pacers,2021
14,Golden State Warriors,39-33,0.50%,5,14th,0,Moses Moody,Golden State Warriors,2021
1,Orlando Magic,22-60,14.00%,140,2nd,1,Paolo Banchero,Orlando Magic,2022
2,Oklahoma City Thunder,24-58,12.50%,125,4th,2,Chet Holmgren,Oklahoma City Thunder,2022
3,Houston Rockets,20-62,14.00%,140,1st,-2,"Jabari Smith, Jr.",Houston Rockets,2022
4,Sacramento Kings,30-52,7.50%,75,7th,3,Keegan Murray,Sacramento Kings,2022
5,Detroit Pistons,23-59,14.00%,140,3rd,-2,Jaden Ivey,Detroit Pistons,2022
6,Indiana Pacers,25-57,10.50%,105,5th,-1,Bennedict Mathurin,Indiana Pacers,2022
7,Portland Trail Blazers,27-55,9.00%,90,6th,-1,Shaedon Sharpe,Portland Trail Blazers,2022
8,Los Angeles Lakers,33-49,6.00%,60,8th,0,Dyson Daniels,New Orleans Pelicans,2022
9,San Antonio Spurs,34-48,4.50%,45,9th,0,Jeremy Sochan,San Antonio Spurs,2022
10,Washington Wizards,35-47,3.00%,30,10th,0,Johnny Davis,Washington Wizards,2022
11,New York Knicks,37-45,2.00%,20,11th,0,Ousmane Dieng,New York Knicks,2022
12,Los Angeles Clippers,42-40,1.50%,15,12th,0,Jalen Williams,Oklahoma City Thunder,2022
13,Charlotte Hornets,43-39,1.00%,10,13th,0,Jalen Duren,Charlotte Hornets,2022
14,Cleveland Cavaliers,44-38,0.50%,5,14th,0,Ochai Agbaji,Cleveland Cavaliers,2022
1,San Antonio Spurs,22-60,14.00%,140,3rd,2,Victor Wembanyama,San Antonio Spurs,2023
2,Charlotte Hornets,27-55,12.50%,125,4th,2,Brandon Miller,Charlotte Hornets,2023
3,Portland Trail Blazers,33-49,10.50%,105,5th,2,Scoot Henderson,Portland Trail Blazers,2023
4,Houston Rockets,22-60,14.00%,140,2nd,-2,Amen Thompson,Houston Rockets,2023
5,Detroit Pistons,17-65,14.00%,140,1st,-4,Ausar Thompson,Detroit Pistons,2023
6,Orlando Magic,34-48,9.00%,90,6th,0,Anthony Black,Orlando Magic,2023
7,Indiana Pacers,35-47,6.80%,68,7th,0,Bilal Coulibaly,Indiana Pacers,2023
8,Washington Wizards,35-47,6.70%,67,8th,0,Jarace Walker,Washington Wizards,2023
9,Utah Jazz,37-45,4.50%,45,9th,0,Taylor Hendricks,Utah Jazz,2023
10,Dallas Mavericks,38-44,3.00%,30,10th,0,Cason Wallace,Dallas Mavericks,2023
11,Chicago Bulls,40-42,1.80%,18,11th,0,Jett Howard,Orlando Magic,2023
12,Oklahoma City Thunder,40-42,1.70%,17,12th,0,Dereck Lively II,Oklahoma City Thunder,2023
13,Toronto Raptors,41-41,1.00%,10,13th,0,Gradey Dick,Toronto Raptors,2023
14,New Orleans Pelicans,42-40,0.50%,5,14th,0,Jordan Hawkins,New Orleans Pelicans,2023
1,Atlanta Hawks,36-46,3.00%,30,10th,9,Zaccharie Risacher,Atlanta Hawks,2024
2,Washington Wizards,15-67,14.00%,140,2nd,0,Alex Sarr,Washington Wizards,2024
3,Brooklyn Nets,32-50,4.50%,45,9th,6,Reed Sheppard,Houston Rockets,2024
4,San Antonio Spurs,22-60,10.50%,105,5th,1,Stephon Castle,San Antonio Spurs,2024
5,Detroit Pistons,14-68,14.00%,140,1st,-4,Ron Holland,Detroit Pistons,2024
6,Charlotte Hornets,21-61,13.30%,133,3rd,-3,Tidjane Salaun,Charlotte Hornets,2024
7,Portland Trail Blazers,21-61,13.20%,132,4th,-3,Donovan Clingan,Portland Trail Blazers,2024
8,Toronto Raptors,25-57,9.00%,90,6th,-2,Rob Dillingham,San Antonio Spurs,2024
9,Memphis Grizzlies,27-55,7.50%,75,7th,-2,Zach Edey,Memphis Grizzlies,2024
10,Utah Jazz,31-51,6.00%,60,8th,-2,Cody Williams,Utah Jazz,2024
11,Chicago Bulls,39-43,2.00%,20,11th,0,Matas Buzelis,Chicago Bulls,2024
12,Houston Rockets,41-41,1.50%,15,12th,0,Nikola Topic,Oklahoma City Thunder,2024
13,Sacramento Kings,46-36,0.80%,8,13th,0,Devin Carter,Sacramento Kings,2024
14,Golden State Warriors,46-36,0.70%,7,14th,0,Bub Carrington,Portland Trail Blazers,2024
1,Dallas Mavericks,39-43,1.80%,18,11th,10,-,-,2025
2,San Antonio Spurs,34-48,6.00%,60,8th,6,-,-,2025
3,Philadelphia Sixers,24-58,10.50%,105,5th,2,-,-,2025
4,Charlotte Hornets,19-63,14.00%,140,3rd,-1,-,-,2025
5,Utah Jazz,17-65,14.00%,140,1st,-4,-,-,2025
6,Washington Wizards,18-64,14.00%,140,2nd,-4,-,-,2025
7,New Orleans Pelicans,21-61,12.50%,125,4th,-3,-,-,2025
8,Brooklyn Nets,26-56,9.00%,90,6th,-2,-,-,2025
9,Toronto Raptors,30-52,7.50%,75,7th,-2,-,-,2025
10,Houston Rockets,36-46,3.80%,38,9th,-1,-,-,2025
11,Portland Trail Blazers,36-46,3.70%,37,10th,-1,-,-,2025
12,Chicago Bulls,39-43,1.70%,17,12th,0,-,-,2025
13,Atlanta Hawks,40-42,0.80%,8,13th,0,-,-,2025
14,San Antonio Spurs,40-42,0.70%,7,14th,0,-,-,2025
